WordID,TestID,Word,LanguageCode,WordPhonetic,Description,Image
1,1,Äiti,fi,Mother,Mẹ,
2,1,Isä,fi,Father,Cha,
3,1,Isoisä,fi,Grandfather,Ông,
4,1,Isoäiti,fi,Grandmother,Bà,
5,1,Mummo,fi,Grandma,Bà (thân mật),
6,1,Pappa,fi,Grandpa,Ông (thân mật),
7,1,Serkku,fi,Cousin,Anh/chị họ,
8,1,Täti,fi,Aunt,Dì/cô,
9,1,Setä,fi,Uncle,Chú/cậu,
10,1,Lapsi,fi,Child,Con,
11,1,Poika,fi,Son,Con trai,
12,1,Tyttö,fi,Daughter,Con gái,
13,1,Vävy,fi,Son-in-law,Con rể,
14,1,Miniä,fi,Daughter-in-law,Con dâu,
15,1,Sisarus,fi,Sibling,Anh/chị ruột,
16,1,Veli,fi,Brother,Anh/em trai,
17,1,Sisko,fi,Sister,Chị/em,
18,1,Perhe,fi,Family,Gia đình,
19,1,Ydinperhe,fi,Nuclear family,Gia đình hạt nhân,
20,1,Laajennettu perhe,fi,Extended family,Gia đình mở rộng,
21,2,Talo,fi,House,Ngôi nhà,
22,2,Huone,fi,Room,Phòng,
23,2,Keittiö,fi,Kitchen,Bếp,
24,2,Olohuone,fi,Living room,Phòng khách,
25,2,Makuuhuone,fi,Bedroom,Phòng ngủ,
26,2,Kylpyhuone,fi,Bathroom,Phòng tắm,
27,2,WC,fi,Toilet,Nhà vệ sinh,
28,2,Sisäänkäynti,fi,Entrance,Lối vào,
29,2,Käytävä,fi,Corridor,Hành lang,
30,2,Veranta,fi,Porch,Hiên,
31,2,Piha,fi,Yard,Sân,
32,2,Kellari,fi,Cellar,Hầm,
33,2,Säilytys,fi,Storage,Kho,
34,2,Terassi,fi,Terrace,Sân thượng,
35,2,Parveke,fi,Balcony,Ban công,
36,2,Uuni,fi,Oven,Lò nướng,
37,2,Jääkaappi,fi,Refrigerator,Tủ lạnh,
38,2,Pesukone,fi,Washing machine,Máy giặt,
39,2,Sohva,fi,Sofa,Ghế sofa,
40,2,Pöytä,fi,Table,Bàn,
41,3,Leipä,fi,Bread,Bánh mì,
42,3,Maito,fi,Milk,Sữa,
43,3,Vesi,fi,Water,Nước,
44,3,Hedelmät,fi,Fruits,Trái cây,
45,3,Vihannekset,fi,Vegetables,Rau củ,
46,3,Liha,fi,Meat,Thịt,
47,3,Kala,fi,Fish,Cá,
48,3,Juusto,fi,Cheese,Phô mai,
49,3,Yogurtti,fi,Yogurt,Sữa chua,
50,3,Munat,fi,Eggs,Trứng,
51,3,Kahvi,fi,Coffee,Cà phê,
52,3,Tee,fi,Tea,Trà,
53,3,Suklaa,fi,Chocolate,Sô cô la,
54,3,Suola,fi,Salt,Muối,
55,3,Keksi,fi,Cookie,Bánh quy,
56,3,Marmeladi,fi,Marmalade,Mứt,
57,3,Jogurtti,fi,Yogurt,Sữa chua,
58,3,Jäätelö,fi,Ice cream,Kem,
59,3,Pasta,fi,Pasta,Mỳ ống,
60,3,Riisi,fi,Rice,Gạo,
61,4,Tunti,fi,Hour,Giờ,
62,4,Minuutti,fi,Minute,Phút,
63,4,Sekunti,fi,Second,Giây,
64,4,Päivä,fi,Day,Ngày,
65,4,Viikko,fi,Week,Tuần,
66,4,Kuukausi,fi,Month,Tháng,
67,4,Vuosi,fi,Year,Năm,
68,4,Aamu,fi,Morning,Buổi sáng,
69,4,Iltapäivä,fi,Afternoon,Buổi chiều,
70,4,Ilta,fi,Evening,Buổi tối,
71,4,Yö,fi,Night,Đêm,
72,4,Tänään,fi,Today,Hôm nay,
73,4,Huomenna,fi,Tomorrow,Ngày mai,
74,4,Eilen,fi,Yesterday,Hôm qua,
75,4,Viime viikolla,fi,Last week,Tuần trước,
76,4,Seuraavalla viikolla,fi,Next week,Tuần tới,
77,4,Aikataulu,fi,Schedule,Lịch trình,
78,4,Kalenteri,fi,Calendar,Lịch,
79,4,Kello,fi,Clock,Đồng hồ,
80,4,Ajankohta,fi,Time,Thời điểm,
81,5,Auto,fi,Car,Ô tô,
82,5,Bussi,fi,Bus,Xe buýt,
83,5,Juna,fi,Train,Tàu hỏa,
84,5,Lentokone,fi,Airplane,Máy bay,
85,5,Polkupyörä,fi,Bicycle,Xe đạp,
86,5,Taksi,fi,Taxi,Xe taxi,
87,5,Raitiovaunu,fi,Tram,Xe điện,
88,5,Laiva,fi,Ship,Thuyền,
89,5,Moottoripyörä,fi,Motorcycle,Xe máy,
90,5,Jalkakäytävä,fi,Sidewalk,Vỉa hè,
91,5,Tie,fi,Road,Đường,
92,5,Risteys,fi,Intersection,Ngã tư,
93,5,Silta,fi,Bridge,Cầu,
94,5,Tunneli,fi,Tunnel,Hầm,
95,5,Linja-autoasema,fi,Bus station,Bến xe buýt,
96,5,Rautatieasema,fi,Train station,Ga tàu hỏa,
97,5,Lentokenttä,fi,Airport,Sân bay,
98,5,Lippu,fi,Ticket,Vé,
99,5,Pysäkki,fi,Stop,Trạm dừng,
100,5,Reitti,fi,Route,Tuyến đường,
101,6,Äiti on opettaja,fi,Mother is a teacher,Mẹ là giáo viên,
102,6,Isä on insinööri,fi,Father is an engineer,Cha là kỹ sư,
103,6,Veli on opiskelija,fi,Brother is a student,Anh/em trai là sinh viên,
104,6,Sisko on lääkäri,fi,Sister is a doctor,Chị/em gái là bác sĩ,
105,6,Isoisä on eläkeläinen,fi,Grandfather is a retiree,Ông là nghỉ hưu,
106,6,Isoäiti on ystävällinen,fi,Grandmother is friendly,Bà thì thân thiện,
107,6,Serkku on taiteilija,fi,Cousin is an artist,Anh/chị/em họ là nghệ sĩ,
108,6,Täti on kirjailija,fi,Aunt is a writer,Dì/cô là nhà văn,
109,6,Setä on hyvä kokki,fi,Uncle is a good cook,Chú/bác là đầu bếp giỏi,
110,6,Lapsi on iloinen,fi,The child is cheerful,Đứa trẻ vui vẻ,
111,7,Talo on iso,fi,The house is big,Ngôi nhà lớn,
112,7,Huone on siisti,fi,The room is clean,Phòng sạch sẽ,
113,7,Keittiö on valoisa,fi,The kitchen is bright,Nhà bếp sáng sủa,
114,7,Olohuone on mukava,fi,The living room is comfortable,Phòng khách thoải mái,
115,7,Makuuhuone on pieni,fi,The bedroom is small,Phòng ngủ nhỏ,
116,7,Kylpyhuone on moderni,fi,The bathroom is modern,Phòng tắm hiện đại,
117,7,WC on puhdas,fi,The toilet is clean,Nhà vệ sinh sạch sẽ,
118,7,Sisäänkäynti on turvallinen,fi,The entrance is safe,Lối vào an toàn,
119,7,Parveke on kaunis,fi,The balcony is beautiful,Ban công đẹp,
120,7,Piha on vihreä,fi,The yard is green,Sân nhà xanh tươi,
121,8,Leipä on tuore,fi,The bread is fresh,Bánh mì tươi,
122,8,Maito on kylmää,fi,The milk is cold,Sữa lạnh,
123,8,Vesi on puhdas,fi,The water is clean,Nước sạch,
124,8,Hedelmät ovat terveellisiä,fi,Fruits are healthy,Trái cây tốt cho sức khỏe,
125,8,Vihannekset ovat vihreitä,fi,Vegetables are green,Rau củ xanh,
126,8,Liha on maukas,fi,The meat is tasty,Thịt ngon,
127,8,kala on terveellistä,fi,fish is healthy,cá  tốt cho sức khỏe,
128,8,juusto on pehmeä,fi,the cheese is soft,phô mai mềm,
129,8,suklaa on makea,fi,chocolate is sweet,sô cô la ngọt,
130,8,kahvi on vahva,fi,the coffee is strong,cà phê mạnh,
131,9,Tunti on pitkä,fi,The hour is long,Một giờ thì dài,
132,9,Minuutti on lyhyt,fi,The minute is short,Phút ngắn,
133,9,Sekunti on nopea,fi,The second is fast,Giây nhanh,
134,9,Päivä on aurinkoinen,fi,The day is sunny,Ngày nắng đẹp,
135,9,Viikko on kiireinen,fi,The week is busy,Tuần bận rộn,
136,9,Kuukausi on kylmä,fi,The month is cold,Tháng lạnh,
137,9,Vuosi on uusi,fi,The year is new,Năm mới,
138,9,Aamu on rauhallinen,fi,The morning is calm,Buổi sáng yên tĩnh,
139,9,Ilta on hiljainen,fi,the evening is quiet,Buổi tối yên ắng,
140,9,yö on pimeä,fi,the night is dark,Đêm tối,
141,10,Auto on punainen,fi,The car is red,Xe ô tô màu đỏ,
142,10,Bussi on täysi,fi,The bus is full,Xe buýt đầy người,
143,10,Juna on nopea,fi,The train is fast,Tàu hỏa nhanh,
144,10,Lentokone on suuri,fi,The airplane is large,Máy bay lớn,
145,10,Polkupyörä on vanha,fi,The bicycle is old,Xe đạp cũ,
146,10,Taksi on kallis,fi,The taxi is expensive,Taxi đắt đỏ,
147,10,Raitiovaunu on kätevä,fi,The tram is convenient,Xe điện thuận tiện,
148,10,Laiva on turvallinen,fi,The ship is safe,Tàu thủy an toàn,
149,10,Moottoripyörä on musta,fi,The motorcycle is black,Xe máy màu đen,
150,10,Jalkakäytävä on kapea,fi,The sidewalk is narrow,Vỉa hè hẹp.,
